,MPT,RiskParity,Factor,ML_XGB
SPY,-6.177312670443575e-23,0.05429895329498591,0.051543386769410476,0.0
QQQ,0.17794179684203515,0.06302900450542456,0.07685302771344063,0.0
EFA,-1.05584596763991e-23,0.04183621103143889,0.03663964745410421,0.5809298644743657
EEM,-3.596022389882554e-23,0.04265964738353995,0.0435988748689243,0.0
IWM,-9.315222764452721e-24,0.06193937627595569,0.04868748274398496,0.0
VNQ,-7.514803111300746e-24,0.03804137923449011,0.009348246016104289,0.0
XLK,0.20069182481553288,0.06945977751786625,0.08059321064278611,0.0
XLF,2.5161072213611556e-25,0.04767467949550758,0.04929438650629961,0.0
XLE,-2.190772870138381e-23,0.05326815519736419,0.01011599651869316,0.19869253212491517
XLV,-1.037694329021926e-23,0.028536263904917408,0.0013224577053835235,0.22037760340071907
XLB,2.260062925263811e-25,0.05181825954567199,0.016415804264812064,0.0
XLY,3.6305816130107603e-25,0.06336391700138615,0.08055401247504428,0.0
XLP,-2.602763194971747e-24,0.018133734449188907,0.006642848558710295,0.0
IEF,1.111568631572951e-24,0.0008256683919148883,-0.0002487833330110586,0.0
TLT,-2.864958380013452e-25,0.007753145149031018,0.0004482779980960113,0.0
LQD,-1.794007128878289e-24,0.009997731378360745,0.004119016333604975,0.0
HYG,-3.601933493564183e-24,0.014567783099262046,0.011592583656134338,0.0
SHY,-5.3455836026006014e-27,-0.00021437136450342927,-0.00033994230571489397,0.0
TIP,-4.303927113674845e-25,0.0038535271468704696,0.0016206265118341833,0.0
BNDX,2.0738321183284185e-25,0.0005751568135719265,6.509214636868149e-05,0.0
GLD,-2.19896476002407e-24,0.012393167200229621,0.01597895873752186,0.0
SLV,0.0949620106202816,0.03770737878804286,0.05001826167217355,0.0
DBC,-5.1106860858543985e-24,0.024039736146973065,0.013319450762941238,0.0
USO,1.1952749595257676e-25,0.03915230002057308,0.00496158740335883,0.0
BTC-USD,1.5679297695090185e-23,0.07879390588621434,0.1482311706245681,0.0
ETH-USD,0.5264043677221504,0.1364955125057219,0.23862431755442626,0.0
