,MPT,RiskParity,Factor,ML_XGB
XLK,0.25,0.03760312370950412,0.05584045584045585,0.0
XLF,5.853683625588514e-25,0.03766590431517051,0.053048433048433055,0.0
XLB,5.013200086434427e-25,0.03765399284474887,0.016752136752136753,0.0
BTC-USD,1.4376618651396643e-23,0.037576023507595896,0.0725925925925926,0.0
HYG,-2.715111664816889e-23,0.037761092892554395,0.04188034188034188,0.0
TIP,-2.7128590478501274e-23,0.03779185050044841,0.030712250712250713,0.0
SHY,6.340057419076242e-25,0.03780351207198742,0.0362962962962963,0.0
EFA,-2.727797541143804e-23,0.03768272722305553,0.044672364672364684,0.5532420068088357
IEF,-5.487365642040724e-23,0.037800540850997384,0.019544159544159546,0.0
GLD,-2.738951421936425e-23,0.03776737883510361,0.06700854700854701,0.0
VNQ,-2.719687869422938e-23,0.03769365874918781,0.013960113960113962,0.0
DBC,-2.729650907556046e-23,0.03773390945722609,0.033504273504273506,0.0
XLY,5.45784985182775e-25,0.03762069040135951,0.061424501424501426,0.0
QQQ,0.25,0.0376216617532351,0.058632478632478634,0.0
SPY,-1.1049824025930192e-22,0.03764682800384505,0.04746438746438748,0.0
LQD,-2.713607320205475e-23,0.03777422407155173,0.02512820512820513,0.0
IWM,-1.5087985912674974e-23,0.03762480530058711,0.03908831908831909,0.0
XLV,-5.491115697619306e-23,0.03772098812883386,0.0027920227920227927,0.2583925191014502
SLV,0.23000000000000004,0.03769463887436856,0.06421652421652423,0.0
BNDX,-2.712008755364877e-23,0.03780125049071921,0.027920227920227924,0.0
TLT,-2.7121135217553246e-23,0.03778068302924279,0.0055840455840455855,0.0
XLE,-5.500832792957772e-23,0.03764983382978735,0.011168091168091171,0.16836547408971422
EEM,-8.283865646953262e-23,0.03768034847193882,0.05025641025641026,0.0
USO,4.23026923121612e-25,0.037690474909591265,0.008376068376068376,0.0
XLP,-2.714414467892555e-23,0.037750873077127337,0.022336182336182342,0.0
ETH-USD,0.25,0.0374089847002322,0.06980056980056981,0.0
