,MPT,RiskParity,Factor,ML_XGB
SPY,4.328137242703866e-24,0.005833872642459474,0.007355227532873469,7.64720073348471e-05
QQQ,0.06252198510054131,0.007840603767652084,0.012219396518225447,0.0001435326125768813
EFA,3.932430869419711e-24,0.005309225394553507,0.006294009947183479,0.014401243003227617
EEM,-4.691382474863254e-24,0.006400993149218076,0.008537361516084968,0.033819980895179465
IWM,-2.027647201069992e-24,0.0021044971512113463,0.0021863565536576254,1.9778047938170932e-05
VNQ,-4.06196500051047e-25,-0.0005480682784472847,-0.00016238459878584234,-0.00014411978000612388
XLK,0.05954565067702626,0.007463674798296731,0.011083520923738972,3.6033675851942796e-05
XLF,-4.7880083058378714e-24,0.006542953591979693,0.009215039696227828,0.012722466573157907
XLE,3.034884298815158e-25,-0.00027557804185906305,-0.0001226165563857946,-0.00038411453952359026
XLV,-6.66675438660007e-24,-0.004514772526813943,-0.0003341731001194369,-0.004500590945037149
XLB,2.558469434885183e-25,-0.00034920051140556517,-0.0001294649645942215,-0.00017904024043271846
XLY,-2.4915950056322334e-23,0.008457035390589493,0.013808089096858779,0.03206773333545125
XLP,-5.3738399253307235e-25,0.0007359069882944413,0.0004354168868201656,0.00013844880108328632
IEF,-3.715937575572615e-25,0.0005095360092867031,0.00026344722003975707,1.8081954062024535e-05
TLT,-1.5601169012168685e-26,-0.0030832789612615912,-0.00045571346946080617,-0.001128925913568742
LQD,-7.452217734689778e-25,0.0010210877215461166,0.0006792485107110008,7.062616447362965e-05
HYG,-2.0003215619975252e-24,0.002739524813506386,0.003038371068363636,0.00036919740821970276
SHY,-1.0513557523090906e-24,0.0014416471823142354,0.0013841680795066522,0.0001390560026065905
TIP,-8.618989770311789e-25,0.0011814867306748852,0.0009601567490912947,5.8528051044078455e-05
BNDX,-8.014637088215848e-25,0.0010989596198664852,0.000811697962232364,2.7943410438285616e-05
GLD,3.033858522117826e-26,0.010684906840222727,0.01895761821176854,7.168002959393314e-05
SLV,0.020464034601294555,0.009642304032604323,0.016426614669272782,0.07107342622935803
DBC,5.1854007770013696e-27,0.0013777970729638887,0.0012233579322783387,0.0009837970668302967
USO,5.165467784766809e-25,-0.0014169773527647942,-0.0003148996541340003,-3.5041451867942097e-06
BTC-USD,-7.583638819547093e-23,0.02570692062428278,0.04966297284728951,8.899289920212836e-05
ETH-USD,0.164820713973522,0.020552361380137406,0.03834859916762852,3.669237566960945e-05
