,MPT,RiskParity,Factor,ML_XGB
SHY.1,-0.0,0.0,0.0,0.0
XLB,-0.0,0.0,0.0,0.0
ETH-USD,0.0,0.0,0.0,0.0
SPY,0.0,0.0,0.0,0.0
XLK,0.0,0.0,0.0,0.0
BTC-USD.1,-0.0,0.0,0.0,0.0
GLD,-0.0,0.0,0.0,0.0
SLV,-0.0,0.0,0.0,0.0
LQD.1,-0.0,0.0,0.0,0.0
SHY,-0.0,0.0,0.0,0.0
XLE,0.0,0.0,0.0,0.0
VNQ,-0.0,0.0,0.0,0.0
LQD,-0.0,0.0,0.0,0.0
TIP.1,-0.0,0.0,0.0,0.0
TLT,0.0,0.0,0.0,0.0
HYG,-0.0,0.0,0.0,0.0
GLD.1,-0.0,0.0,0.0,0.0
BNDX,0.0,0.0,0.0,0.0
HYG.1,-0.0,0.0,0.0,0.0
BNDX.1,0.0,0.0,0.0,0.0
DBC.1,0.0,0.0,0.0,0.0
SLV.1,-0.0,0.0,0.0,0.0
QQQ,0.0,0.0,0.0,0.0
DBC,0.0,0.0,0.0,0.0
XLF,-0.0,0.0,0.0,0.0
TIP,-0.0,0.0,0.0,0.0
USO.1,-0.0,0.0,0.0,0.0
TLT.1,0.0,0.0,0.0,0.0
XLP,-0.0,0.0,0.0,0.0
USO,-0.0,0.0,0.0,0.0
XLV,-0.0,0.0,0.0,0.0
IEF,0.0,0.0,0.0,0.0
IEF.1,0.0,0.0,0.0,0.0
BTC-USD,-0.0,0.0,0.0,0.0
EFA,-0.0,0.0,0.0,0.0
IWM,0.0,0.0,0.0,0.0
ETH-USD.1,0.0,0.0,0.0,0.0
EEM,-0.0,0.0,0.0,0.0
XLY,-0.0,0.0,0.0,0.0
