period,start,end,level,name,total_return,max_drawdown
Volmageddon_2018,2018-09-20,2018-12-24,portfolio,MPT,-0.05166384603420748,-0.0761873735669476
Volmageddon_2018,2018-09-20,2018-12-24,portfolio,RiskParity,-0.08729508439372569,-0.08729508439372569
Volmageddon_2018,2018-09-20,2018-12-24,portfolio,Factor,-0.08478888199275048,-0.08478888199275048
Volmageddon_2018,2018-09-20,2018-12-24,portfolio,ML_XGB,-0.12475416519271265,-0.12475416519271265
Inflation_2022,2022-01-03,2022-10-14,portfolio,MPT,-0.0670443163483353,-0.15885708542367383
Inflation_2022,2022-01-03,2022-10-14,portfolio,RiskParity,-0.19168587357692302,-0.23077342450553018
Inflation_2022,2022-01-03,2022-10-14,portfolio,Factor,-0.14992758773054538,-0.20580306783230196
Inflation_2022,2022-01-03,2022-10-14,portfolio,ML_XGB,-0.03253676806305572,-0.1903431150560264
China_2015,2015-06-01,2016-02-11,asset,SPY,-0.12196860326509817,-0.12820682194954913
China_2015,2015-06-01,2016-02-11,asset,QQQ,-0.1287757487295692,-0.16104421151302828
China_2015,2015-06-01,2016-02-11,asset,EFA,-0.18861536656545097,-0.18861536656545097
China_2015,2015-06-01,2016-02-11,asset,EEM,-0.167071110220112,-0.20941749558265843
China_2015,2015-06-01,2016-02-11,asset,IWM,-0.2150409054970901,-0.2150409054970901
China_2015,2015-06-01,2016-02-11,asset,VNQ,-0.09088729990399913,-0.1144840746747644
China_2015,2015-06-01,2016-02-11,asset,XLK,-0.08344990599628821,-0.12666524389207756
China_2015,2015-06-01,2016-02-11,asset,XLF,-0.21423209639766394,-0.21423209639766394
China_2015,2015-06-01,2016-02-11,asset,XLE,-0.21213502432430031,-0.2683626719298935
China_2015,2015-06-01,2016-02-11,asset,XLV,-0.15917648454043298,-0.15917648454043298
China_2015,2015-06-01,2016-02-11,asset,XLB,-0.14532402065183891,-0.18438052419396356
China_2015,2015-06-01,2016-02-11,asset,XLY,-0.12687585258673562,-0.15845061858006204
China_2015,2015-06-01,2016-02-11,asset,XLP,-0.0030968249960821037,-0.0898229917002672
China_2015,2015-06-01,2016-02-11,asset,IEF,0.05643322663818684,-0.028939023475275105
China_2015,2015-06-01,2016-02-11,asset,TLT,0.08742137738576039,-0.058086258466548024
China_2015,2015-06-01,2016-02-11,asset,LQD,0.002823094258279424,-0.027222638811740252
China_2015,2015-06-01,2016-02-11,asset,HYG,-0.09928337894779249,-0.10483821029996532
China_2015,2015-06-01,2016-02-11,asset,SHY,0.006976982485354721,-0.007112663068307712
China_2015,2015-06-01,2016-02-11,asset,TIP,0.006293961940679882,-0.02370313477443664
China_2015,2015-06-01,2016-02-11,asset,BNDX,0.02529524469686706,-0.010876364895885282
China_2015,2015-06-01,2016-02-11,asset,GLD,0.11136003557393148,-0.11694928252450987
China_2015,2015-06-01,2016-02-11,asset,SLV,0.021872842947441518,-0.1530479666018555
China_2015,2015-06-01,2016-02-11,asset,DBC,-0.19318924178092312,-0.24619294594962704
China_2015,2015-06-01,2016-02-11,asset,USO,-0.42476604941488416,-0.5037406743261851
China_2015,2015-06-01,2016-02-11,asset,BTC-USD,0.47166392337814145,-0.24413996459761234
Volmageddon_2018,2018-09-20,2018-12-24,asset,SPY,-0.1934890494810686,-0.1934890494810686
Volmageddon_2018,2018-09-20,2018-12-24,asset,QQQ,-0.21952412200610472,-0.22699401798460006
Volmageddon_2018,2018-09-20,2018-12-24,asset,EFA,-0.16178370402590214,-0.16288200160991595
Volmageddon_2018,2018-09-20,2018-12-24,asset,EEM,-0.09985471575315397,-0.12098088814086272
Volmageddon_2018,2018-09-20,2018-12-24,asset,IWM,-0.2603878792152231,-0.2603878792152231
Volmageddon_2018,2018-09-20,2018-12-24,asset,VNQ,-0.11104262495926354,-0.12754220426998086
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLK,-0.2274305007662224,-0.2378495221613638
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLF,-0.22192188982682737,-0.22192188982682737
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLE,-0.271601856793244,-0.30140620451267697
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLV,-0.13890249019591616,-0.15441405689636611
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLB,-0.2149094999902167,-0.2149094999902167
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLY,-0.21371502804910825,-0.21371502804910825
Volmageddon_2018,2018-09-20,2018-12-24,asset,XLP,-0.10478568643717368,-0.13453165432004255
Volmageddon_2018,2018-09-20,2018-12-24,asset,IEF,0.03352844791389242,-0.012379969557437476
Volmageddon_2018,2018-09-20,2018-12-24,asset,TLT,0.045312650798930765,-0.04301558819731688
Volmageddon_2018,2018-09-20,2018-12-24,asset,LQD,-0.010397859008530852,-0.025645849570018475
Volmageddon_2018,2018-09-20,2018-12-24,asset,HYG,-0.059004950824427804,-0.06410808913381849
Volmageddon_2018,2018-09-20,2018-12-24,asset,SHY,0.011534450487296954,-0.0019735021926979845
Volmageddon_2018,2018-09-20,2018-12-24,asset,TIP,-0.006492047250656108,-0.019882261155693803
Volmageddon_2018,2018-09-20,2018-12-24,asset,BNDX,0.014746226068139023,-0.007698061722807403
Volmageddon_2018,2018-09-20,2018-12-24,asset,GLD,0.05031942039834569,-0.026633493794329888
Volmageddon_2018,2018-09-20,2018-12-24,asset,SLV,0.03122677191449652,-0.05122655524777897
Volmageddon_2018,2018-09-20,2018-12-24,asset,DBC,-0.16464713374457762,-0.21375900304303175
Volmageddon_2018,2018-09-20,2018-12-24,asset,USO,-0.37229730796430804,-0.42226368122320823
Volmageddon_2018,2018-09-20,2018-12-24,asset,BTC-USD,-0.3744163170885221,-0.5185584496915794
Volmageddon_2018,2018-09-20,2018-12-24,asset,ETH-USD,-0.3755849323545214,-0.6580950251077822
COVID_Crash,2020-02-19,2020-03-23,asset,SPY,-0.33717276646569916,-0.33717276646569916
COVID_Crash,2020-02-19,2020-03-23,asset,QQQ,-0.2791658723202123,-0.28559368832720755
COVID_Crash,2020-02-19,2020-03-23,asset,EFA,-0.3259891217621793,-0.3259891217621793
COVID_Crash,2020-02-19,2020-03-23,asset,EEM,-0.3079358482357877,-0.3079358482357877
COVID_Crash,2020-02-19,2020-03-23,asset,IWM,-0.40676959942936575,-0.40821040329604386
COVID_Crash,2020-02-19,2020-03-23,asset,VNQ,-0.41540984498425004,-0.42398185053085213
COVID_Crash,2020-02-19,2020-03-23,asset,XLK,-0.31153221091659156,-0.31153221091659156
COVID_Crash,2020-02-19,2020-03-23,asset,XLF,-0.42789108269315324,-0.42789108269315324
COVID_Crash,2020-02-19,2020-03-23,asset,XLE,-0.560666829828525,-0.5628075363158476
COVID_Crash,2020-02-19,2020-03-23,asset,XLV,-0.2792947851847508,-0.2792947851847508
COVID_Crash,2020-02-19,2020-03-23,asset,XLB,-0.36209133223503664,-0.3631437486723025
COVID_Crash,2020-02-19,2020-03-23,asset,XLY,-0.33503663138393447,-0.3391022254931336
COVID_Crash,2020-02-19,2020-03-23,asset,XLP,-0.24161100058452978,-0.243487911250307
COVID_Crash,2020-02-19,2020-03-23,asset,IEF,0.0637589281265607,-0.0467564986653074
COVID_Crash,2020-02-19,2020-03-23,asset,TLT,0.14234244387815576,-0.15727694016520555
COVID_Crash,2020-02-19,2020-03-23,asset,LQD,-0.12297997428821172,-0.21762101694775737
COVID_Crash,2020-02-19,2020-03-23,asset,HYG,-0.21896142606561364,-0.2202868006550811
COVID_Crash,2020-02-19,2020-03-23,asset,SHY,0.02091374205202201,-0.006461074702810321
COVID_Crash,2020-02-19,2020-03-23,asset,TIP,-0.00597909239487926,-0.11204484596071351
COVID_Crash,2020-02-19,2020-03-23,asset,BNDX,-0.03777133027437307,-0.05890406701584505
COVID_Crash,2020-02-19,2020-03-23,asset,GLD,-0.036168327802914235,-0.12527726112612392
COVID_Crash,2020-02-19,2020-03-23,asset,SLV,-0.2855484186496414,-0.35574711012011795
COVID_Crash,2020-02-19,2020-03-23,asset,DBC,-0.2570469487263166,-0.27315431093093456
COVID_Crash,2020-02-19,2020-03-23,asset,USO,-0.5635062628592487,-0.5824467952441748
COVID_Crash,2020-02-19,2020-03-23,asset,BTC-USD,-0.33395023694856796,-0.4868303149255423
COVID_Crash,2020-02-19,2020-03-23,asset,ETH-USD,-0.48063774135785164,-0.5835631912901932
Inflation_2022,2022-01-03,2022-10-14,asset,SPY,-0.2426980955039464,-0.24496381305067005
