period,start,end,level,name,return
COVID_2020,2020-02-19,2020-03-23,asset,BNDX,-0.037771560678642846
COVID_2020,2020-02-19,2020-03-23,asset,BTC-USD,-0.33395023694856796
COVID_2020,2020-02-19,2020-03-23,asset,DBC,-0.2570469487263166
COVID_2020,2020-02-19,2020-03-23,asset,EEM,-0.3079357511303079
COVID_2020,2020-02-19,2020-03-23,asset,EFA,-0.3259891655481608
COVID_2020,2020-02-19,2020-03-23,asset,ETH-USD,-0.48063774135785164
COVID_2020,2020-02-19,2020-03-23,asset,GLD,-0.036168327802914235
COVID_2020,2020-02-19,2020-03-23,asset,HYG,-0.21896178024284474
COVID_2020,2020-02-19,2020-03-23,asset,IEF,0.0637597130675227
COVID_2020,2020-02-19,2020-03-23,asset,IWM,-0.4067695418113074
COVID_2020,2020-02-19,2020-03-23,asset,LQD,-0.12297978022083333
COVID_2020,2020-02-19,2020-03-23,asset,QQQ,-0.2791657469552338
COVID_2020,2020-02-19,2020-03-23,asset,SHY,0.020914052851012777
COVID_2020,2020-02-19,2020-03-23,asset,SLV,-0.2855484186496414
COVID_2020,2020-02-19,2020-03-23,asset,SPY,-0.33717276646569916
COVID_2020,2020-02-19,2020-03-23,asset,TIP,-0.0059790138168022144
COVID_2020,2020-02-19,2020-03-23,asset,TLT,0.14234232190331486
COVID_2020,2020-02-19,2020-03-23,asset,USO,-0.5635062628592487
COVID_2020,2020-02-19,2020-03-23,asset,VNQ,-0.41540974920269036
COVID_2020,2020-02-19,2020-03-23,asset,XLB,-0.36209149258417317
COVID_2020,2020-02-19,2020-03-23,asset,XLE,-0.5606668578443875
COVID_2020,2020-02-19,2020-03-23,asset,XLF,-0.4278910146196663
COVID_2020,2020-02-19,2020-03-23,asset,XLK,-0.3115321329861376
COVID_2020,2020-02-19,2020-03-23,asset,XLP,-0.24161092995741007
COVID_2020,2020-02-19,2020-03-23,asset,XLV,-0.2792949230041478
COVID_2020,2020-02-19,2020-03-23,asset,XLY,-0.33503657088818883
COVID_2020,2020-02-19,2020-03-23,portfolio,Factor,-0.2658701330183362
COVID_2020,2020-02-19,2020-03-23,portfolio,ML_XGB,-0.3106474234334069
COVID_2020,2020-02-19,2020-03-23,portfolio,MPT,-0.33351004161422326
COVID_2020,2020-02-19,2020-03-23,portfolio,RiskParity,-0.2524671187048497
GFC_2008,2007-10-01,2009-03-09,asset,BNDX,0.0
GFC_2008,2007-10-01,2009-03-09,asset,BTC-USD,0.0
GFC_2008,2007-10-01,2009-03-09,asset,DBC,0.0
GFC_2008,2007-10-01,2009-03-09,asset,EEM,0.0
GFC_2008,2007-10-01,2009-03-09,asset,EFA,0.0
GFC_2008,2007-10-01,2009-03-09,asset,ETH-USD,0.0
GFC_2008,2007-10-01,2009-03-09,asset,GLD,0.0
GFC_2008,2007-10-01,2009-03-09,asset,HYG,0.0
GFC_2008,2007-10-01,2009-03-09,asset,IEF,0.0
GFC_2008,2007-10-01,2009-03-09,asset,IWM,0.0
GFC_2008,2007-10-01,2009-03-09,asset,LQD,0.0
GFC_2008,2007-10-01,2009-03-09,asset,QQQ,0.0
GFC_2008,2007-10-01,2009-03-09,asset,SHY,0.0
GFC_2008,2007-10-01,2009-03-09,asset,SLV,0.0
GFC_2008,2007-10-01,2009-03-09,asset,SPY,0.0
GFC_2008,2007-10-01,2009-03-09,asset,TIP,0.0
GFC_2008,2007-10-01,2009-03-09,asset,TLT,0.0
GFC_2008,2007-10-01,2009-03-09,asset,USO,0.0
GFC_2008,2007-10-01,2009-03-09,asset,VNQ,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLB,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLE,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLF,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLK,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLP,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLV,0.0
GFC_2008,2007-10-01,2009-03-09,asset,XLY,0.0
GFC_2008,2007-10-01,2009-03-09,portfolio,Factor,0.0
GFC_2008,2007-10-01,2009-03-09,portfolio,ML_XGB,0.0
GFC_2008,2007-10-01,2009-03-09,portfolio,MPT,0.0
GFC_2008,2007-10-01,2009-03-09,portfolio,RiskParity,0.0
